,3pt_pct,win_pct,marginal,tally,posterior
Atlanta Hawks,0.333,0.299,0.5374627659574469,"{'won': [15, 5], 'lost': [21, 26]}",0.41723820551646323
Philadelphia 76ers,0.368,0.589,0.6011231190150479,"{'won': [28, 15], 'lost': [18, 16]}",0.6380304992251167
Brooklyn Nets,0.343,0.486,0.6910271777003485,"{'won': [29, 6], 'lost': [23, 18]}",0.5827349882616798
Boston Celtics,0.364,0.667,0.6433709677419355,"{'won': [41, 17], 'lost': [16, 15]}",0.7328586828448946
New York Knicks,0.337,0.318,0.3181650793650793,"{'won': [8, 13], 'lost': [13, 32]}",0.3807547245115843
Toronto Raptors,0.374,0.736,0.5310608695652175,"{'won': [33, 27], 'lost': [11, 12]}",0.7622478386167146
Utah Jazz,0.38,0.611,0.7201725543478261,"{'won': [35, 11], 'lost': [21, 11]}",0.6455276607546123
Denver Nuggets,0.359,0.63,0.4892727272727273,"{'won': [27, 28], 'lost': [18, 19]}",0.6321070234113711
Portland Trail Blazers,0.377,0.473,0.46936046511627905,"{'won': [18, 18], 'lost': [19, 24]}",0.5038771212684257
Oklahoma City Thunder,0.355,0.611,0.45534374999999994,"{'won': [21, 26], 'lost': [15, 17]}",0.5995470455013383
Minnesota Timberwolves,0.336,0.297,0.6406514619883041,"{'won': [15, 4], 'lost': [26, 19]}",0.3659925843028934
Milwaukee Bucks,0.355,0.767,0.5982690014903129,"{'won': [40, 21], 'lost': [9, 13]}",0.8406767163587946
Indiana Pacers,0.363,0.616,0.5683555555555555,"{'won': [31, 14], 'lost': [12, 20]}",0.7466374726305912
Cleveland Cavaliers,0.351,0.292,0.43724912280701755,"{'won': [9, 10], 'lost': [19, 26]}",0.3163317712011298
Chicago Bulls,0.348,0.338,0.5772164502164502,"{'won': [15, 7], 'lost': [22, 20]}",0.39925152058318397
Detroit Pistons,0.367,0.303,0.6363565217391305,"{'won': [16, 4], 'lost': [26, 20]}",0.3809185444309315
Los Angeles Lakers,0.349,0.732,0.4983921568627451,"{'won': [38, 30], 'lost': [8, 16]}",0.820756943898025
Los Angeles Clippers,0.371,0.681,0.605107142857143,"{'won': [38, 18], 'lost': [13, 16]}",0.7636782151921148
Phoenix Suns,0.358,0.466,0.4795158371040725,"{'won': [21, 13], 'lost': [14, 25]}",0.6002377964198428
Golden State Warriors,0.334,0.231,0.32722040816326536,"{'won': [8, 7], 'lost': [13, 36]}",0.37650463396075784
Sacramento Kings,0.364,0.431,0.597360346184107,"{'won': [24, 7], 'lost': [19, 22]}",0.5585864905267732
Charlotte Hornets,0.352,0.354,0.5230766045548654,"{'won': [12, 11], 'lost': [22, 20]}",0.353094844169312
Orlando Magic,0.343,0.452,0.4495454545454546,"{'won': [21, 12], 'lost': [13, 31]}",0.6398382204246713
Miami Heat,0.379,0.603,0.560485632183908,"{'won': [38, 20], 'lost': [15, 21]}",0.7048690329096791
Washington Wizards,0.368,0.347,0.45827148936170214,"{'won': [16, 9], 'lost': [17, 30]}",0.48460357049338026
San Antonio Spurs,0.376,0.451,0.4703980263157894,"{'won': [18, 14], 'lost': [15, 23]}",0.5393039209516018
Memphis Grizzlies,0.347,0.466,0.4336058823529412,"{'won': [18, 16], 'lost': [14, 26]}",0.5689634121525375
Houston Rockets,0.345,0.611,0.6988326530612244,"{'won': [40, 9], 'lost': [18, 17]}",0.7137266812293388
New Orleans Pelicans,0.37,0.417,0.555695238095238,"{'won': [24, 6], 'lost': [16, 26]}",0.6003290601220266
Dallas Mavericks,0.367,0.573,0.8032525252525253,"{'won': [38, 6], 'lost': [26, 10]}",0.6160747969115464
